ProductName,ProductSubcategory,StateProvinceCode,ProductCategory,Sales_Type,ResellerName,SalesOrderNumber,OrderFrequency,StoreAge,City,CountryRegionCode,Region,CustomerKey,ResellerKey,ProductKey,OrderDate,ShipDate,UnitPrice,OrderQuantity,YearOpened,Profit,NumberEmployees,AnnualSales,AnnualRevenue,TotalProductCost,SalesAmount,DiscountAmount
"Long-Sleeve Logo Jersey, L",Jerseys,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO59053,A,new,Frankfurt am Main,DE,EU,14,14,234,2019-03-22,2019-01-27,29.99,4,2000,-33.9932,22,1000000,100000,153.9692,119.98,0
"Mountain-200 Black, 38",Mountain Bikes,SL,Bikes,Reseller Sales,Bicycle Warehouse Inc.,SO53609,A,new,Frankfurt am Main,DE,EU,14,14,359,2018-12-18,2018-10-29,1376.99,1,2000,125.0127,22,1000000,100000,1251.9813,1376.99,0
ML Mountain Handlebars,Handlebars,SL,Components,Reseller Sales,Bicycle Warehouse Inc.,SO53608,A,new,Frankfurt am Main,DE,EU,14,14,400,2018-12-18,2018-10-29,37.15,2,2000,19.319,22,1000000,100000,54.985,74.3,0
ML Mountain Handlebars,Handlebars,SL,Components,Reseller Sales,Bicycle Warehouse Inc.,SO53609,A,new,Frankfurt am Main,DE,EU,14,14,400,2018-12-18,2018-10-29,37.15,1,2000,9.6595,22,1000000,100000,27.4925,37.15,0
"Classic Vest, S",Vests,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO53608,A,new,Frankfurt am Main,DE,EU,14,14,471,2018-12-18,2018-10-29,38.1,4,2000,57.404,22,1000000,100000,94.996,152.4,0
"Classic Vest, S",Vests,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO59033,A,new,Frankfurt am Main,DE,EU,14,14,471,2019-03-22,2019-01-27,38.1,4,2000,57.404,22,1000000,100000,94.996,152.4,0
"Classic Vest, S",Vests,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO71910,A,new,Frankfurt am Main,DE,EU,14,14,471,2019-09-18,2019-07-28,38.1,3,2000,43.053,22,1000000,100000,71.247,114.3,0
"Classic Vest, M",Vests,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO53608,A,new,Frankfurt am Main,DE,EU,14,14,472,2018-12-18,2018-10-29,38.1,5,2000,71.755,22,1000000,100000,118.745,190.5,0
"Women's Mountain Shorts, S",Shorts,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO59033,A,new,Frankfurt am Main,DE,EU,14,14,474,2019-03-22,2019-01-27,41.99,3,2000,47.4531,22,1000000,100000,78.5289,125.98,0
"Women's Mountain Shorts, S",Shorts,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO65305,A,new,Frankfurt am Main,DE,EU,14,14,474,2019-06-20,2019-04-26,41.99,4,2000,63.2708,22,1000000,100000,104.7052,167.98,0
"Women's Mountain Shorts, S",Shorts,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO71910,A,new,Frankfurt am Main,DE,EU,14,14,474,2019-09-18,2019-07-28,41.99,6,2000,94.9062,22,1000000,100000,157.0578,251.96,0
"Women's Mountain Shorts, M",Shorts,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO59033,A,new,Frankfurt am Main,DE,EU,14,14,475,2019-03-22,2019-01-27,41.99,2,2000,31.6354,22,1000000,100000,52.3526,83.99,0
"Women's Mountain Shorts, M",Shorts,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO65305,A,new,Frankfurt am Main,DE,EU,14,14,475,2019-06-20,2019-04-26,41.99,2,2000,31.6354,22,1000000,100000,52.3526,83.99,0
"Women's Mountain Shorts, M",Shorts,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO71910,A,new,Frankfurt am Main,DE,EU,14,14,475,2019-09-18,2019-07-28,41.99,1,2000,15.8177,22,1000000,100000,26.1763,41.99,0
"Women's Mountain Shorts, L",Shorts,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO53608,A,new,Frankfurt am Main,DE,EU,14,14,476,2018-12-18,2018-10-29,40.59,12,2000,163.2722,22,1000000,100000,314.1156,477.39,9.7426
"Women's Mountain Shorts, L",Shorts,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO59033,A,new,Frankfurt am Main,DE,EU,14,14,476,2019-03-22,2019-01-27,41.99,4,2000,63.2708,22,1000000,100000,104.7052,167.98,0
"Women's Mountain Shorts, L",Shorts,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO65305,A,new,Frankfurt am Main,DE,EU,14,14,476,2019-06-20,2019-04-26,41.99,1,2000,15.8177,22,1000000,100000,26.1763,41.99,0
"Women's Mountain Shorts, L",Shorts,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO71910,A,new,Frankfurt am Main,DE,EU,14,14,476,2019-09-18,2019-07-28,41.99,4,2000,63.2708,22,1000000,100000,104.7052,167.98,0
Water Bottle - 30 oz.,Bottles and Cages,SL,Accessories,Reseller Sales,Bicycle Warehouse Inc.,SO53608,A,new,Frankfurt am Main,DE,EU,14,14,477,2018-12-18,2018-10-29,2.99,4,2000,4.5108,22,1000000,100000,7.4652,11.98,0
Hitch Rack - 4-Bike,Bike Racks,SL,Accessories,Reseller Sales,Bicycle Warehouse Inc.,SO53608,A,new,Frankfurt am Main,DE,EU,14,14,483,2018-12-18,2018-10-29,72,3,2000,81.36,22,1000000,100000,134.64,216,0
Hitch Rack - 4-Bike,Bike Racks,SL,Accessories,Reseller Sales,Bicycle Warehouse Inc.,SO59033,A,new,Frankfurt am Main,DE,EU,14,14,483,2019-03-22,2019-01-27,72,4,2000,108.48,22,1000000,100000,179.52,288,0
Bike Wash - Dissolver,Cleaners,SL,Accessories,Reseller Sales,Bicycle Warehouse Inc.,SO53608,A,new,Frankfurt am Main,DE,EU,14,14,484,2018-12-18,2018-10-29,4.77,5,2000,8.9835,22,1000000,100000,14.8665,23.85,0
Hydration Pack - 70 oz.,Hydration Packs,SL,Accessories,Reseller Sales,Bicycle Warehouse Inc.,SO53608,A,new,Frankfurt am Main,DE,EU,14,14,487,2018-12-18,2018-10-29,32.99,1,2000,12.4277,22,1000000,100000,20.5663,32.99,0
"Short-Sleeve Classic Jersey, L",Jerseys,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO53608,A,new,Frankfurt am Main,DE,EU,14,14,490,2018-12-18,2018-10-29,32.39,2,2000,-18.3566,22,1000000,100000,83.1446,64.79,0
"Short-Sleeve Classic Jersey, XL",Jerseys,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO53608,A,new,Frankfurt am Main,DE,EU,14,14,491,2018-12-18,2018-10-29,32.39,8,2000,-73.4264,22,1000000,100000,332.5784,259.15,0
"Short-Sleeve Classic Jersey, XL",Jerseys,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO59033,A,new,Frankfurt am Main,DE,EU,14,14,491,2019-03-22,2019-01-27,32.39,3,2000,-27.5349,22,1000000,100000,124.7169,97.18,0
"Short-Sleeve Classic Jersey, XL",Jerseys,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO71910,A,new,Frankfurt am Main,DE,EU,14,14,491,2019-09-18,2019-07-28,32.39,2,2000,-18.3566,22,1000000,100000,83.1446,64.79,0
HL Mountain Seat/Saddle,Saddles,SL,Components,Reseller Sales,Bicycle Warehouse Inc.,SO53608,A,new,Frankfurt am Main,DE,EU,14,14,517,2018-12-18,2018-10-29,31.58,2,2000,16.4236,22,1000000,100000,46.7444,63.17,0
HL Mountain Pedal,Pedals,SL,Components,Reseller Sales,Bicycle Warehouse Inc.,SO53608,A,new,Frankfurt am Main,DE,EU,14,14,544,2018-12-18,2018-10-29,48.59,1,2000,12.6344,22,1000000,100000,35.9596,48.59,0
"Sport-100 Helmet, Red",Helmets,ENG,Accessories,Reseller Sales,Bulk Discount Store,SO47447,S,new,London,GB,EU,16,16,213,2017-12-19,2017-10-29,20.19,4,2004,25.2332,17,800000,80000,55.5128,80.75,0
"Sport-100 Helmet, Red",Helmets,ENG,Accessories,Reseller Sales,Bulk Discount Store,SO48386,S,new,London,GB,EU,16,16,213,2018-03-22,2018-01-27,20.19,3,2004,18.9249,17,800000,80000,41.6346,60.56,0
"Sport-100 Helmet, Red",Helmets,ENG,Accessories,Reseller Sales,Bulk Discount Store,SO50722,S,new,London,GB,EU,16,16,213,2018-09-17,2018-07-27,20.19,4,2004,25.2332,17,800000,80000,55.5128,80.75,0
"Sport-100 Helmet, Red",Helmets,ENG,Accessories,Reseller Sales,Bulk Discount Store,SO53562,S,new,London,GB,EU,16,16,214,2018-12-18,2018-10-29,20.99,3,2004,23.7231,17,800000,80000,39.2589,62.98,0
"Sport-100 Helmet, Red",Helmets,ENG,Accessories,Reseller Sales,Bulk Discount Store,SO59063,S,new,London,GB,EU,16,16,214,2019-03-22,2019-01-27,20.99,3,2004,23.7231,17,800000,80000,39.2589,62.98,0
"Sport-100 Helmet, Red",Helmets,ENG,Accessories,Reseller Sales,Bulk Discount Store,SO71938,S,new,London,GB,EU,16,16,214,2019-09-18,2019-07-28,20.99,3,2004,23.7231,17,800000,80000,39.2589,62.98,0
"Sport-100 Helmet, Black",Helmets,ENG,Accessories,Reseller Sales,Bulk Discount Store,SO47447,S,new,London,GB,EU,16,16,216,2017-12-19,2017-10-29,20.19,2,2004,12.6166,17,800000,80000,27.7564,40.37,0
"Sport-100 Helmet, Black",Helmets,ENG,Accessories,Reseller Sales,Bulk Discount Store,SO50722,S,new,London,GB,EU,16,16,216,2018-09-17,2018-07-27,20.19,4,2004,25.2332,17,800000,80000,55.5128,80.75,0
"Sport-100 Helmet, Black",Helmets,ENG,Accessories,Reseller Sales,Bulk Discount Store,SO53562,S,new,London,GB,EU,16,16,217,2018-12-18,2018-10-29,20.99,9,2004,71.1693,17,800000,80000,117.7767,188.95,0
"Sport-100 Helmet, Black",Helmets,ENG,Accessories,Reseller Sales,Bulk Discount Store,SO59063,S,new,London,GB,EU,16,16,217,2019-03-22,2019-01-27,20.99,3,2004,23.7231,17,800000,80000,39.2589,62.98,0
"Sport-100 Helmet, Black",Helmets,ENG,Accessories,Reseller Sales,Bulk Discount Store,SO71938,S,new,London,GB,EU,16,16,217,2019-09-18,2019-07-28,20.99,5,2004,39.5385,17,800000,80000,65.4315,104.97,0
"Sport-100 Helmet, Blue",Helmets,ENG,Accessories,Reseller Sales,Bulk Discount Store,SO47447,S,new,London,GB,EU,16,16,221,2017-12-19,2017-10-29,20.19,3,2004,18.9249,17,800000,80000,41.6346,60.56,0
"Sport-100 Helmet, Blue",Helmets,ENG,Accessories,Reseller Sales,Bulk Discount Store,SO48386,S,new,London,GB,EU,16,16,221,2018-03-22,2018-01-27,20.19,6,2004,37.8498,17,800000,80000,83.2692,121.12,0
"Sport-100 Helmet, Blue",Helmets,ENG,Accessories,Reseller Sales,Bulk Discount Store,SO50722,S,new,London,GB,EU,16,16,221,2018-09-17,2018-07-27,20.19,2,2004,12.6166,17,800000,80000,27.7564,40.37,0
"Sport-100 Helmet, Blue",Helmets,ENG,Accessories,Reseller Sales,Bulk Discount Store,SO53562,S,new,London,GB,EU,16,16,222,2018-12-18,2018-10-29,20.99,6,2004,47.4462,17,800000,80000,78.5178,125.96,0
"Sport-100 Helmet, Blue",Helmets,ENG,Accessories,Reseller Sales,Bulk Discount Store,SO59063,S,new,London,GB,EU,16,16,222,2019-03-22,2019-01-27,20.99,2,2004,15.8154,17,800000,80000,26.1726,41.99,0
"Sport-100 Helmet, Blue",Helmets,ENG,Accessories,Reseller Sales,Bulk Discount Store,SO71938,S,new,London,GB,EU,16,16,222,2019-09-18,2019-07-28,20.99,3,2004,23.7231,17,800000,80000,39.2589,62.98,0
AWC Logo Cap,Caps,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO47447,S,new,London,GB,EU,16,16,224,2017-12-19,2017-10-29,5.19,3,2004,-0.1296,17,800000,80000,15.6891,15.56,0
AWC Logo Cap,Caps,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO48386,S,new,London,GB,EU,16,16,224,2018-03-22,2018-01-27,5.19,2,2004,-8.64000000000011e-02,17,800000,80000,10.4594,10.37,0
AWC Logo Cap,Caps,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO49510,S,new,London,GB,EU,16,16,224,2018-06-20,2018-04-25,5.19,3,2004,-0.1296,17,800000,80000,15.6891,15.56,0
AWC Logo Cap,Caps,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO50722,S,new,London,GB,EU,16,16,224,2018-09-17,2018-07-27,5.19,4,2004,-0.172800000000002,17,800000,80000,20.9188,20.75,0
AWC Logo Cap,Caps,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO53562,S,new,London,GB,EU,16,16,225,2018-12-18,2018-10-29,5.39,7,2004,-10.6981,17,800000,80000,48.4561,37.76,0
AWC Logo Cap,Caps,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO59063,S,new,London,GB,EU,16,16,225,2019-03-22,2019-01-27,5.39,5,2004,-7.6415,17,800000,80000,34.6115,26.97,0
AWC Logo Cap,Caps,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO65271,S,new,London,GB,EU,16,16,225,2019-06-20,2019-04-26,5.39,1,2004,-1.5283,17,800000,80000,6.9223,5.39,0
AWC Logo Cap,Caps,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO71938,S,new,London,GB,EU,16,16,225,2019-09-18,2019-07-28,5.39,1,2004,-1.5283,17,800000,80000,6.9223,5.39,0
"Long-Sleeve Logo Jersey, M",Jerseys,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO47447,S,new,London,GB,EU,16,16,230,2017-12-19,2017-10-29,28.84,1,2004,-0.240300000000001,17,800000,80000,29.0807,28.84,0
"Long-Sleeve Logo Jersey, M",Jerseys,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO48386,S,new,London,GB,EU,16,16,230,2018-03-22,2018-01-27,28.84,3,2004,-0.7209,17,800000,80000,87.2421,86.52,0
"Long-Sleeve Logo Jersey, M",Jerseys,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO50722,S,new,London,GB,EU,16,16,230,2018-09-17,2018-07-27,28.84,1,2004,-0.240300000000001,17,800000,80000,29.0807,28.84,0
"Long-Sleeve Logo Jersey, M",Jerseys,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO53562,S,new,London,GB,EU,16,16,231,2018-12-18,2018-10-29,29.99,3,2004,-25.4949,17,800000,80000,115.4769,89.98,0
"Long-Sleeve Logo Jersey, M",Jerseys,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO59063,S,new,London,GB,EU,16,16,231,2019-03-22,2019-01-27,29.99,8,2004,-67.9864,17,800000,80000,307.9384,239.95,0
"Long-Sleeve Logo Jersey, M",Jerseys,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO71938,S,new,London,GB,EU,16,16,231,2019-09-18,2019-07-28,29.99,2,2004,-16.9966,17,800000,80000,76.9846,59.99,0
"Long-Sleeve Logo Jersey, L",Jerseys,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO47447,S,new,London,GB,EU,16,16,233,2017-12-19,2017-10-29,28.84,3,2004,-0.7209,17,800000,80000,87.2421,86.52,0
"Long-Sleeve Logo Jersey, L",Jerseys,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO48386,S,new,London,GB,EU,16,16,233,2018-03-22,2018-01-27,28.84,2,2004,-0.480600000000003,17,800000,80000,58.1614,57.68,0
"Long-Sleeve Logo Jersey, L",Jerseys,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO49510,S,new,London,GB,EU,16,16,233,2018-06-20,2018-04-25,28.84,3,2004,-0.7209,17,800000,80000,87.2421,86.52,0
"Long-Sleeve Logo Jersey, L",Jerseys,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO50722,S,new,London,GB,EU,16,16,233,2018-09-17,2018-07-27,28.84,3,2004,-0.7209,17,800000,80000,87.2421,86.52,0
"Long-Sleeve Logo Jersey, L",Jerseys,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO53562,S,new,London,GB,EU,16,16,234,2018-12-18,2018-10-29,29.99,7,2004,-59.4881,17,800000,80000,269.4461,209.96,0
"Long-Sleeve Logo Jersey, L",Jerseys,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO59063,S,new,London,GB,EU,16,16,234,2019-03-22,2019-01-27,29.99,4,2004,-33.9932,17,800000,80000,153.9692,119.98,0
"Long-Sleeve Logo Jersey, L",Jerseys,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO65271,S,new,London,GB,EU,16,16,234,2019-06-20,2019-04-26,29.99,5,2004,-42.4915,17,800000,80000,192.4615,149.97,0
"Long-Sleeve Logo Jersey, L",Jerseys,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO71938,S,new,London,GB,EU,16,16,234,2019-09-18,2019-07-28,29.99,3,2004,-25.4949,17,800000,80000,115.4769,89.98,0
"Long-Sleeve Logo Jersey, XL",Jerseys,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO47447,S,new,London,GB,EU,16,16,236,2017-12-19,2017-10-29,28.84,4,2004,-0.961200000000005,17,800000,80000,116.3228,115.36,0
"Long-Sleeve Logo Jersey, XL",Jerseys,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO48386,S,new,London,GB,EU,16,16,236,2018-03-22,2018-01-27,28.84,2,2004,-0.480600000000003,17,800000,80000,58.1614,57.68,0
"Long-Sleeve Logo Jersey, XL",Jerseys,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO53562,S,new,London,GB,EU,16,16,237,2018-12-18,2018-10-29,29.99,4,2004,-33.9932,17,800000,80000,153.9692,119.98,0
"LL Road Frame - Black, 58",Road Frames,ENG,Components,Reseller Sales,Bulk Discount Store,SO53562,S,new,London,GB,EU,16,16,255,2018-12-18,2018-10-29,202.33,5,2004,-11.4655,17,800000,80000,1023.1255,1011.66,0
"LL Road Frame - Red, 48",Road Frames,ENG,Components,Reseller Sales,Bulk Discount Store,SO47447,S,new,London,GB,EU,16,16,265,2017-12-19,2017-10-29,202.33,1,2004,15.1749,17,800000,80000,187.1571,202.33,0
"Road-650 Red, 58",Road Bikes,ENG,Bikes,Reseller Sales,Bulk Discount Store,SO48386,S,new,London,GB,EU,16,16,321,2018-03-22,2018-01-27,469.79,2,2004,-33.8252,17,800000,80000,973.4132,939.59,0
"Road-250 Red, 58",Road Bikes,ENG,Bikes,Reseller Sales,Bulk Discount Store,SO59063,S,new,London,GB,EU,16,16,372,2019-03-22,2019-01-27,1466.01,4,2004,-355.7516,17,800000,80000,6219.7916,5864.04,0
"Road-550-W Yellow, 42",Road Bikes,ENG,Bikes,Reseller Sales,Bulk Discount Store,SO65271,S,new,London,GB,EU,16,16,386,2019-06-20,2019-04-26,672.29,3,2004,-122.3574,17,800000,80000,2139.2394,2016.88,0
LL Road Handlebars,Handlebars,ENG,Components,Reseller Sales,Bulk Discount Store,SO47447,S,new,London,GB,EU,16,16,403,2017-12-19,2017-10-29,24.29,2,2004,12.633,17,800000,80000,35.956,48.59,0
LL Road Handlebars,Handlebars,ENG,Components,Reseller Sales,Bulk Discount Store,SO53562,S,new,London,GB,EU,16,16,404,2018-12-18,2018-10-29,26.72,3,2004,20.8446,17,800000,80000,59.3274,80.17,0
HL Road Handlebars,Handlebars,ENG,Components,Reseller Sales,Bulk Discount Store,SO47447,S,new,London,GB,EU,16,16,407,2017-12-19,2017-10-29,65.6,1,2004,17.0565,17,800000,80000,48.5453,65.6,0
HL Road Handlebars,Handlebars,ENG,Components,Reseller Sales,Bulk Discount Store,SO53562,S,new,London,GB,EU,16,16,408,2018-12-18,2018-10-29,72.16,3,2004,56.2863,17,800000,80000,160.1997,216.49,0
HL Road Handlebars,Handlebars,ENG,Components,Reseller Sales,Bulk Discount Store,SO71938,S,new,London,GB,EU,16,16,408,2019-09-18,2019-07-28,72.16,1,2004,18.7621,17,800000,80000,53.3999,72.16,0
ML Road Front Wheel,Wheels,ENG,Components,Reseller Sales,Bulk Discount Store,SO47447,S,new,London,GB,EU,16,16,414,2017-12-19,2017-10-29,149.03,1,2004,38.7481,17,800000,80000,110.2829,149.03,0
ML Road Front Wheel,Wheels,ENG,Components,Reseller Sales,Bulk Discount Store,SO48386,S,new,London,GB,EU,16,16,414,2018-03-22,2018-01-27,149.03,1,2004,38.7481,17,800000,80000,110.2829,149.03,0
HL Road Front Wheel,Wheels,ENG,Components,Reseller Sales,Bulk Discount Store,SO47447,S,new,London,GB,EU,16,16,415,2017-12-19,2017-10-29,198.04,1,2004,51.4894,17,800000,80000,146.5466,198.04,0
HL Road Front Wheel,Wheels,ENG,Components,Reseller Sales,Bulk Discount Store,SO48386,S,new,London,GB,EU,16,16,415,2018-03-22,2018-01-27,198.04,1,2004,51.4894,17,800000,80000,146.5466,198.04,0
HL Road Front Wheel,Wheels,ENG,Components,Reseller Sales,Bulk Discount Store,SO50722,S,new,London,GB,EU,16,16,415,2018-09-17,2018-07-27,198.04,3,2004,154.4682,17,800000,80000,439.6398,594.11,0
LL Road Rear Wheel,Wheels,ENG,Components,Reseller Sales,Bulk Discount Store,SO47447,S,new,London,GB,EU,16,16,422,2017-12-19,2017-10-29,67.54,2,2004,35.1202,17,800000,80000,99.9578,135.08,0
LL Road Rear Wheel,Wheels,ENG,Components,Reseller Sales,Bulk Discount Store,SO48386,S,new,London,GB,EU,16,16,422,2018-03-22,2018-01-27,67.54,2,2004,35.1202,17,800000,80000,99.9578,135.08,0
LL Road Rear Wheel,Wheels,ENG,Components,Reseller Sales,Bulk Discount Store,SO49510,S,new,London,GB,EU,16,16,422,2018-06-20,2018-04-25,67.54,4,2004,70.2404,17,800000,80000,199.9156,270.16,0
LL Road Rear Wheel,Wheels,ENG,Components,Reseller Sales,Bulk Discount Store,SO50722,S,new,London,GB,EU,16,16,422,2018-09-17,2018-07-27,67.54,1,2004,17.5601,17,800000,80000,49.9789,67.54,0
"ML Road Frame-W - Yellow, 48",Road Frames,ENG,Components,Reseller Sales,Bulk Discount Store,SO50722,S,new,London,GB,EU,16,16,435,2018-09-17,2018-07-27,324.45,1,2004,24.3339,17,800000,80000,300.1188,324.45,0
Cable Lock,Locks,ENG,Accessories,Reseller Sales,Bulk Discount Store,SO47447,S,new,London,GB,EU,16,16,447,2017-12-19,2017-10-29,15,4,2004,18.75,17,800000,80000,41.25,60,0
Minipump,Pumps,ENG,Accessories,Reseller Sales,Bulk Discount Store,SO47447,S,new,London,GB,EU,16,16,448,2017-12-19,2017-10-29,11.99,7,2004,26.2367,17,800000,80000,57.7213,83.96,0
Minipump,Pumps,ENG,Accessories,Reseller Sales,Bulk Discount Store,SO50722,S,new,London,GB,EU,16,16,448,2018-09-17,2018-07-27,11.99,5,2004,18.7405,17,800000,80000,41.2295,59.97,0
"Men's Sports Shorts, M",Shorts,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO47447,S,new,London,GB,EU,16,16,453,2017-12-19,2017-10-29,35.99,2,2004,22.4962,17,800000,80000,49.4918,71.99,0
"Men's Sports Shorts, M",Shorts,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO48386,S,new,London,GB,EU,16,16,453,2018-03-22,2018-01-27,35.99,3,2004,33.7443,17,800000,80000,74.2377,107.98,0
"Men's Sports Shorts, M",Shorts,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO50722,S,new,London,GB,EU,16,16,453,2018-09-17,2018-07-27,35.99,2,2004,22.4962,17,800000,80000,49.4918,71.99,0
"Women's Tights, S",Tights,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO47447,S,new,London,GB,EU,16,16,456,2017-12-19,2017-10-29,44.99,7,2004,98.4242,17,800000,80000,216.5338,314.96,0
"Women's Tights, S",Tights,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO48386,S,new,London,GB,EU,16,16,456,2018-03-22,2018-01-27,44.99,5,2004,70.303,17,800000,80000,154.667,224.97,0
"Women's Tights, S",Tights,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO49510,S,new,London,GB,EU,16,16,456,2018-06-20,2018-04-25,44.99,1,2004,14.0606,17,800000,80000,30.9334,44.99,0
"Women's Tights, S",Tights,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO50722,S,new,London,GB,EU,16,16,456,2018-09-17,2018-07-27,44.99,4,2004,56.2424,17,800000,80000,123.7336,179.98,0
"Women's Tights, L",Tights,ENG,Clothing,Reseller Sales,Bulk Discount Store,SO47447,S,new,London,GB,EU,16,16,458,2017-12-19,2017-10-29,44.99,4,2004,56.2424,17,800000,80000,123.7336,179.98,0
